number,step,surface,valid_time,t2m
0,0 days,0.0,2007-01-01 00:00:00,275.00964
0,0 days,0.0,2007-01-01 00:00:00,274.8994
0,0 days,0.0,2007-01-01 01:00:00,275.1605
0,0 days,0.0,2007-01-01 01:00:00,275.06985
0,0 days,0.0,2007-01-01 02:00:00,275.26593
0,0 days,0.0,2007-01-01 02:00:00,275.1817
0,0 days,0.0,2007-01-01 03:00:00,275.31436
0,0 days,0.0,2007-01-01 03:00:00,275.25223
0,0 days,0.0,2007-01-01 04:00:00,275.29904
0,0 days,0.0,2007-01-01 04:00:00,275.285
0,0 days,0.0,2007-01-01 05:00:00,275.21674
0,0 days,0.0,2007-01-01 05:00:00,275.19293
0,0 days,0.0,2007-01-01 06:00:00,275.1385
0,0 days,0.0,2007-01-01 06:00:00,275.1102
0,0 days,0.0,2007-01-01 07:00:00,275.074
0,0 days,0.0,2007-01-01 07:00:00,275.0516
0,0 days,0.0,2007-01-01 08:00:00,275.0051
0,0 days,0.0,2007-01-01 08:00:00,274.9866
0,0 days,0.0,2007-01-01 09:00:00,274.99432
0,0 days,0.0,2007-01-01 09:00:00,274.968
0,0 days,0.0,2007-01-01 10:00:00,275.17072
0,0 days,0.0,2007-01-01 10:00:00,275.11447
0,0 days,0.0,2007-01-01 11:00:00,275.19836
0,0 days,0.0,2007-01-01 11:00:00,275.12842
0,0 days,0.0,2007-01-01 12:00:00,275.29285
0,0 days,0.0,2007-01-01 12:00:00,275.19547
0,0 days,0.0,2007-01-01 13:00:00,275.30212
0,0 days,0.0,2007-01-01 13:00:00,275.1868
0,0 days,0.0,2007-01-01 14:00:00,275.23392
0,0 days,0.0,2007-01-01 14:00:00,275.1287
0,0 days,0.0,2007-01-01 15:00:00,275.1256
0,0 days,0.0,2007-01-01 15:00:00,275.04337
0,0 days,0.0,2007-01-01 16:00:00,275.12738
0,0 days,0.0,2007-01-01 16:00:00,275.05798
0,0 days,0.0,2007-01-01 17:00:00,275.0165
0,0 days,0.0,2007-01-01 17:00:00,274.93088
0,0 days,0.0,2007-01-01 18:00:00,274.84225
0,0 days,0.0,2007-01-01 18:00:00,274.73453
0,0 days,0.0,2007-01-01 19:00:00,274.65924
0,0 days,0.0,2007-01-01 19:00:00,274.5501
0,0 days,0.0,2007-01-01 20:00:00,274.59
0,0 days,0.0,2007-01-01 20:00:00,274.50882
0,0 days,0.0,2007-01-01 21:00:00,274.6168
0,0 days,0.0,2007-01-01 21:00:00,274.54736
0,0 days,0.0,2007-01-01 22:00:00,274.57388
0,0 days,0.0,2007-01-01 22:00:00,274.5565
0,0 days,0.0,2007-01-01 23:00:00,274.6376
0,0 days,0.0,2007-01-01 23:00:00,274.5942
0,0 days,0.0,2007-01-02 00:00:00,274.68832
0,0 days,0.0,2007-01-02 00:00:00,274.62143
0,0 days,0.0,2007-01-02 01:00:00,274.59048
0,0 days,0.0,2007-01-02 01:00:00,274.4735
0,0 days,0.0,2007-01-02 02:00:00,274.40448
0,0 days,0.0,2007-01-02 02:00:00,274.31158
0,0 days,0.0,2007-01-02 03:00:00,274.24603
0,0 days,0.0,2007-01-02 03:00:00,274.17072
0,0 days,0.0,2007-01-02 04:00:00,274.13406
0,0 days,0.0,2007-01-02 04:00:00,274.04984
0,0 days,0.0,2007-01-02 05:00:00,274.01758
0,0 days,0.0,2007-01-02 05:00:00,273.93335
0,0 days,0.0,2007-01-02 06:00:00,273.89926
0,0 days,0.0,2007-01-02 06:00:00,273.81223
0,0 days,0.0,2007-01-02 07:00:00,273.7921
0,0 days,0.0,2007-01-02 07:00:00,273.70648
0,0 days,0.0,2007-01-02 08:00:00,273.64557
0,0 days,0.0,2007-01-02 08:00:00,273.5605
0,0 days,0.0,2007-01-02 09:00:00,273.49826
0,0 days,0.0,2007-01-02 09:00:00,273.42157
0,0 days,0.0,2007-01-02 10:00:00,273.53723
0,0 days,0.0,2007-01-02 10:00:00,273.47955
0,0 days,0.0,2007-01-02 11:00:00,273.4978
0,0 days,0.0,2007-01-02 11:00:00,273.44656
0,0 days,0.0,2007-01-02 12:00:00,273.48853
0,0 days,0.0,2007-01-02 12:00:00,273.46808
0,0 days,0.0,2007-01-02 13:00:00,273.5717
0,0 days,0.0,2007-01-02 13:00:00,273.58453
0,0 days,0.0,2007-01-02 14:00:00,273.72754
0,0 days,0.0,2007-01-02 14:00:00,273.72668
0,0 days,0.0,2007-01-02 15:00:00,273.80002
0,0 days,0.0,2007-01-02 15:00:00,273.77063
0,0 days,0.0,2007-01-02 16:00:00,273.89343
0,0 days,0.0,2007-01-02 16:00:00,273.87134
0,0 days,0.0,2007-01-02 17:00:00,273.9883
0,0 days,0.0,2007-01-02 17:00:00,273.96283
0,0 days,0.0,2007-01-02 18:00:00,274.10193
0,0 days,0.0,2007-01-02 18:00:00,274.07254
0,0 days,0.0,2007-01-02 19:00:00,274.1444
0,0 days,0.0,2007-01-02 19:00:00,274.1531
0,0 days,0.0,2007-01-02 20:00:00,274.24234
0,0 days,0.0,2007-01-02 20:00:00,274.26813
0,0 days,0.0,2007-01-02 21:00:00,274.50366
0,0 days,0.0,2007-01-02 21:00:00,274.537
0,0 days,0.0,2007-01-02 22:00:00,274.8175
0,0 days,0.0,2007-01-02 22:00:00,274.8091
0,0 days,0.0,2007-01-02 23:00:00,274.9667
0,0 days,0.0,2007-01-02 23:00:00,274.94266
0,0 days,0.0,2007-01-03 00:00:00,275.0297
0,0 days,0.0,2007-01-03 00:00:00,274.988
0,0 days,0.0,2007-01-03 01:00:00,275.10748
0,0 days,0.0,2007-01-03 01:00:00,275.07224
0,0 days,0.0,2007-01-03 02:00:00,275.19366
0,0 days,0.0,2007-01-03 02:00:00,275.16986
0,0 days,0.0,2007-01-03 03:00:00,275.24316
0,0 days,0.0,2007-01-03 03:00:00,275.21793
0,0 days,0.0,2007-01-03 04:00:00,275.25537
0,0 days,0.0,2007-01-03 04:00:00,275.2086
0,0 days,0.0,2007-01-03 05:00:00,275.26666
0,0 days,0.0,2007-01-03 05:00:00,275.19778
0,0 days,0.0,2007-01-03 06:00:00,275.24817
0,0 days,0.0,2007-01-03 06:00:00,275.15155
0,0 days,0.0,2007-01-03 07:00:00,275.20135
0,0 days,0.0,2007-01-03 07:00:00,275.07678
0,0 days,0.0,2007-01-03 08:00:00,275.10284
0,0 days,0.0,2007-01-03 08:00:00,274.96457
0,0 days,0.0,2007-01-03 09:00:00,275.05292
0,0 days,0.0,2007-01-03 09:00:00,274.9219
0,0 days,0.0,2007-01-03 10:00:00,274.30975
0,0 days,0.0,2007-01-03 10:00:00,274.21823
0,0 days,0.0,2007-01-03 11:00:00,274.2709
0,0 days,0.0,2007-01-03 11:00:00,274.18442
0,0 days,0.0,2007-01-03 12:00:00,274.20477
0,0 days,0.0,2007-01-03 12:00:00,274.1208
0,0 days,0.0,2007-01-03 13:00:00,274.1296
0,0 days,0.0,2007-01-03 13:00:00,274.03867
0,0 days,0.0,2007-01-03 14:00:00,274.01215
0,0 days,0.0,2007-01-03 14:00:00,273.94632
0,0 days,0.0,2007-01-03 15:00:00,274.00656
0,0 days,0.0,2007-01-03 15:00:00,273.90744
0,0 days,0.0,2007-01-03 16:00:00,273.93506
0,0 days,0.0,2007-01-03 16:00:00,273.82983
0,0 days,0.0,2007-01-03 17:00:00,273.87573
0,0 days,0.0,2007-01-03 17:00:00,273.77692
0,0 days,0.0,2007-01-03 18:00:00,273.7771
0,0 days,0.0,2007-01-03 18:00:00,273.62042
0,0 days,0.0,2007-01-03 19:00:00,273.94604
0,0 days,0.0,2007-01-03 19:00:00,273.84668
0,0 days,0.0,2007-01-03 20:00:00,273.97183
0,0 days,0.0,2007-01-03 20:00:00,273.8661
0,0 days,0.0,2007-01-03 21:00:00,274.0058
0,0 days,0.0,2007-01-03 21:00:00,273.89862
0,0 days,0.0,2007-01-03 22:00:00,273.4617
0,0 days,0.0,2007-01-03 22:00:00,273.35397
0,0 days,0.0,2007-01-03 23:00:00,273.45334
0,0 days,0.0,2007-01-03 23:00:00,273.34616
0,0 days,0.0,2007-01-04 00:00:00,273.43753
0,0 days,0.0,2007-01-04 00:00:00,273.3334
0,0 days,0.0,2007-01-04 01:00:00,273.43857
0,0 days,0.0,2007-01-04 01:00:00,273.3353
